Tick 2(0), Delay 6963 ms, IGT 00:00.000, RTA 00:-6.-963-00:00.000, due world load
Tick 3(0), Delay 1337 ms, IGT 00:00.000, RTA 00:-1.-337-00:00.000, due world load
Tick 4(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 5(0), Delay 7 ms, IGT 00:00.000, RTA 00:00.-07-00:00.000, due world load
Tick 6(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 7(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 8(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 9(0), Delay 6 ms, IGT 00:00.000, RTA 00:00.-06-00:00.000, due world load
Tick 10(0), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 11(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 12(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 13(0), Delay 83 ms, IGT 00:00.000, RTA 00:00.-83-00:00.000, due world load
Tick 14(0), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 15(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 16(0), Delay 170 ms, IGT 00:00.000, RTA 00:00.-170-00:00.000, due world load
Tick 17(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 18(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 19(0), Delay 92 ms, IGT 00:00.000, RTA 00:00.-92-00:00.000, due world load
Tick 20(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 21(0), Delay 63 ms, IGT 00:00.000, RTA 00:00.-63-00:00.000, due world load
Tick 22(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 23(0), Delay 61 ms, IGT 00:00.000, RTA 00:00.-61-00:00.000, due world load
Tick 24(0), Delay 32 ms, IGT 00:00.000, RTA 00:00.-32-00:00.000, due world load
Tick 26(0), Delay 64 ms, IGT 00:00.000, RTA 00:00.-64-00:00.000, due world load
Tick 27(0), Delay 41 ms, IGT 00:00.000, RTA 00:00.-41-00:00.000, due world load
Tick 28(0), Delay 41 ms, IGT 00:00.000, RTA 00:00.-41-00:00.000, due world load
Tick 29(0), Delay 59 ms, IGT 00:00.000, RTA 00:00.-59-00:00.000, due world load
Tick 31(0), Delay 37 ms, IGT 00:00.000, RTA 00:00.-37-00:00.000, due world load
Tick 32(0), Delay 97 ms, IGT 00:00.000, RTA 00:00.-97-00:00.000, due world load
Tick 33(0), Delay 67 ms, IGT 00:00.000, RTA 00:00.-67-00:00.000, due world load
Tick 34(0), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 35(0), Delay 40 ms, IGT 00:00.000, RTA 00:00.-40-00:00.000, due world load
Tick 36(0), Delay 57 ms, IGT 00:00.000, RTA 00:00.-57-00:00.000, due world load
Tick 39(0), Delay 45 ms, IGT 00:00.000, RTA 00:00.-45-00:00.000, due world load
Tick 41(0), Delay 55 ms, IGT 00:00.000, RTA 00:00.-55-00:00.000, due world load
Tick 42(0), Delay 69 ms, IGT 00:00.000, RTA 00:00.-69-00:00.000, due world load
Tick 43(0), Delay 24 ms, IGT 00:00.000, RTA 00:00.-24-00:00.000, due world load
Tick 44(0), Delay 62 ms, IGT 00:00.000, RTA 00:00.-62-00:00.000, due world load
Tick 45(0), Delay 41 ms, IGT 00:00.000, RTA 00:00.-41-00:00.000, due world load
Tick 46(0), Delay 90 ms, IGT 00:00.000, RTA 00:00.-90-00:00.000, due world load
Tick 47(0), Delay 30 ms, IGT 00:00.000, RTA 00:00.-30-00:00.000, due world load
Tick 48(0), Delay 65 ms, IGT 00:00.000, RTA 00:00.-65-00:00.000, due world load
Tick 49(0), Delay 96 ms, IGT 00:00.000, RTA 00:00.-96-00:00.000, due world load
Tick 50(0), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 51(0), Delay 64 ms, IGT 00:00.000, RTA 00:00.-64-00:00.000, due world load
Tick 52(0), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 57(0), Delay 58 ms, IGT 00:00.000, RTA 00:00.-58-00:00.000, due world load
Tick 58(1), Delay 40 ms, IGT 00:00.024, RTA 00:00.-21-00:00.019
Tick 61(4), Delay 43 ms, IGT 00:00.174, RTA 00:00.125-00:00.168
Tick 62(5), Delay 56 ms, IGT 00:00.224, RTA 00:00.168-00:00.224
Tick 66(9), Delay 57 ms, IGT 00:00.424, RTA 00:00.371-00:00.428
Tick 67(10), Delay 42 ms, IGT 00:00.474, RTA 00:00.428-00:00.470
Tick 70(13), Delay 45 ms, IGT 00:00.624, RTA 00:00.577-00:00.622
Tick 71(14), Delay 56 ms, IGT 00:00.674, RTA 00:00.622-00:00.678
Tick 72(15), Delay 59 ms, IGT 00:00.724, RTA 00:00.678-00:00.737
Tick 73(16), Delay 56 ms, IGT 00:00.774, RTA 00:00.737-00:00.793
Tick 74(17), Delay 32 ms, IGT 00:00.824, RTA 00:00.793-00:00.825
Tick 75(18), Delay 44 ms, IGT 00:00.874, RTA 00:00.825-00:00.869
Tick 77(20), Delay 55 ms, IGT 00:00.974, RTA 00:00.922-00:00.977
Tick 79(22), Delay 45 ms, IGT 00:01.074, RTA 00:01.025-00:01.070
Tick 82(25), Delay 58 ms, IGT 00:01.224, RTA 00:01.168-00:01.226
Tick 83(26), Delay 45 ms, IGT 00:01.274, RTA 00:01.226-00:01.271
Tick 97(40), Delay 55 ms, IGT 00:01.974, RTA 00:01.917-00:01.972
Tick 147(90), Delay 79 ms, IGT 00:04.474, RTA 00:04.417-00:04.496
Tick 148(91), Delay 24 ms, IGT 00:04.524, RTA 00:04.496-00:04.520
Tick 158(101), Delay 43 ms, IGT 00:05.024, RTA 00:04.975-00:05.018
Tick 161(104), Delay 43 ms, IGT 00:05.174, RTA 00:05.125-00:05.168
Tick 162(105), Delay 56 ms, IGT 00:05.224, RTA 00:05.168-00:05.224
Tick 168(111), Delay 56 ms, IGT 00:05.524, RTA 00:05.467-00:05.523
Tick 169(112), Delay 61 ms, IGT 00:05.574, RTA 00:05.523-00:05.584
Tick 170(113), Delay 37 ms, IGT 00:05.624, RTA 00:05.584-00:05.621
Tick 174(117), Delay 84 ms, IGT 00:05.824, RTA 00:05.768-00:05.852
Tick 175(118), Delay 20 ms, IGT 00:05.874, RTA 00:05.852-00:05.872
Tick 182(125), Delay 69 ms, IGT 00:06.224, RTA 00:06.171-00:06.240
Tick 183(126), Delay 30 ms, IGT 00:06.274, RTA 00:06.240-00:06.270
Tick 193(136), Delay 55 ms, IGT 00:06.774, RTA 00:06.717-00:06.772
Tick 202(145), Delay 58 ms, IGT 00:07.224, RTA 00:07.167-00:07.225
Tick 203(146), Delay 43 ms, IGT 00:07.274, RTA 00:07.225-00:07.268
Tick 208(151), Delay 55 ms, IGT 00:07.524, RTA 00:07.467-00:07.522
Tick 212(155), Delay 76 ms, IGT 00:07.724, RTA 00:07.671-00:07.747
Tick 213(156), Delay 31 ms, IGT 00:07.774, RTA 00:07.747-00:07.778
Tick 214(157), Delay 40 ms, IGT 00:07.824, RTA 00:07.778-00:07.818
Tick 215(158), Delay 55 ms, IGT 00:07.874, RTA 00:07.818-00:07.873
Tick 217(160), Delay 42 ms, IGT 00:07.974, RTA 00:07.927-00:07.969
Tick 248(191), Delay 55 ms, IGT 00:09.524, RTA 00:09.468-00:09.523
Tick 290(233), Delay 55 ms, IGT 00:11.624, RTA 00:11.567-00:11.622
Tick 466(409), Delay 62 ms, IGT 00:20.424, RTA 00:20.368-00:20.430
Tick 467(410), Delay 41 ms, IGT 00:20.474, RTA 00:20.430-00:20.471
Tick 515(458), Delay 56 ms, IGT 00:22.874, RTA 00:22.817-00:22.873
Tick 553(496), Delay 57 ms, IGT 00:24.774, RTA 00:24.720-00:24.777
Tick 554(497), Delay 42 ms, IGT 00:24.824, RTA 00:24.777-00:24.819
Tick 626(569), Delay 88 ms, IGT 00:28.424, RTA 00:28.372-00:28.460
Tick 627(570), Delay 12 ms, IGT 00:28.474, RTA 00:28.460-00:28.472
Tick 742(685), Delay 641 ms, IGT 00:34.224, RTA 00:34.173-00:34.814
Tick 976(919), Delay 45 ms, IGT 00:45.924, RTA 00:46.469-00:46.514
Tick 996(939), Delay 57264 ms, IGT 00:46.924, RTA 00:47.466-01:44.730
Tick 1162(1105), Delay 59 ms, IGT 00:55.224, RTA 01:52.978-01:53.037
Tick 1163(1106), Delay 42 ms, IGT 00:55.274, RTA 01:53.037-01:53.079
Tick 1204(1147), Delay 45 ms, IGT 00:57.324, RTA 01:55.081-01:55.126
Tick 1247(1190), Delay 29048 ms, IGT 00:59.474, RTA 01:57.229-02:26.277
Tick 1265(1208), Delay 45 ms, IGT 01:00.374, RTA 02:27.130-02:27.175
