No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
1    00:34.174      00:34.175      00:34.780      0.605      0.605      Paused by player, Unpause by player
2    00:46.874      00:47.493      01:44.682      57.189     57.189     Paused by player, Unpause by player
3    00:59.424      01:57.231      02:26.232      29.001     29.001     Paused by player, Unpause by player
4    01:04.274      02:31.080      02:36.170      5.090      5.090      Paused by player, Unpause by player
5    01:05.424      02:37.277      03:00.848      23.571     23.571     Paused by player, Unpause by player
6    01:20.274      03:15.685      03:29.177      13.492     13.492     Paused by player, Unpause by player
7    01:49.724      03:58.618      04:25.129      26.511     26.511     Paused by player, Unpause by player
8    01:50.674      04:26.060      04:39.486      13.426     13.426     Paused by player, Unpause by player
9    01:51.874      04:40.639      04:41.453      0.814      0.814      Paused by player, Unpause by player
10   02:04.024      04:53.595      04:54.418      0.823      0.823      Paused by player, Unpause by player
11   02:04.624      04:54.985      05:19.802      24.817     24.817     Paused by player, Unpause by player
12   02:49.274      06:04.449      06:15.322      10.873     10.873     Paused by player, Unpause by player
13   03:05.374      06:31.410      06:32.359      0.949      0.949      Paused by player, Unpause by player
14   03:05.774      06:32.743      06:34.888      2.145      2.145      Paused by player, Unpause by player
15   03:14.974      06:44.082      06:48.811      4.729      4.729      Paused by player, Unpause by player
16   03:28.774      07:02.574      07:03.799      1.225      1.225      Paused by player, Unpause by player
17   04:44.874      08:19.933      08:20.271      0.338      0.338      Paused by player, Unpause by player
18   05:30.324      09:05.720      09:37.411      31.691     31.691     Paused by player, Unpause by player
19   05:48.224      09:55.270      10:12.371      17.101     17.101     Paused by player, Unpause by player
20   06:02.624      10:26.729      10:27.385      0.656      0.656      Paused by player, Unpause by player
21   06:16.674      10:41.401      10:42.170      0.769                 Paused by changed dimension, Unpause by rendered
22   06:16.807      10:42.325      10:43.823      1.498                 Paused by player, Unpause by player / prob. world load pause
23   06:18.707      10:45.707      10:46.002      0.295                 Paused by changed dimension, Unpause by changed look direction
24   06:20.459      10:47.503      10:47.604      0.101                 Paused by changed dimension, Unpause by changed look direction
25   06:30.710      10:57.762      10:58.455      0.693      0.693      Paused by player, Unpause by player
26   06:32.010      10:59.756      11:00.027      0.271                 Paused by changed dimension, Unpause by changed look direction
27   06:33.611      11:01.403      11:01.528      0.125                 Paused by changed dimension, Unpause by changed look direction
28   06:36.412      11:04.216      11:04.985      0.769      0.769      Paused by player, Unpause by player
29   07:40.762      12:09.353      12:09.654      0.301                 Paused by changed dimension, Unpause by changed look direction
30   07:42.563      12:11.200      12:11.326      0.126                 Paused by changed dimension, Unpause by rendered
31   07:53.127      12:21.895      12:24.704      2.809      2.809      Paused by player, Unpause by player
32   08:00.827      12:32.387      12:34.548      2.161      2.161      Paused by player, Unpause by player
1    08:17.777      12:51.477      13:09.294      17.817                Paused by leave the world, Unpause by rendered
2    13:05.421      17:56.969      17:57.130      0.161                 Paused by changed dimension, Unpause by changed look direction
3    13:11.572      18:03.153      19:03.791      60.638     60.638     Paused by player, Unpause by player
4    13:16.322      19:08.533      19:08.981      0.448      0.448      Paused by player, Unpause by player
5    13:18.222      19:10.873      19:12.340      1.467      1.467      Paused by player, Unpause by player
6    13:18.522      19:12.614      19:13.681      1.067      1.067      Paused by player, Unpause by player
7    13:30.172      19:25.287      19:28.793      3.506      3.506      Paused by player, Unpause by player
8    13:44.222      19:42.796      19:50.943      8.147      8.147      Paused by player, Unpause by player
9    13:47.322      19:54.000      20:37.618      43.618     43.618     Paused by player, Unpause by player
10   13:48.722      20:39.015      20:43.638      4.623      4.623      Paused by player, Unpause by player
11   13:49.322      20:44.209      20:44.431      0.222      0.222      Paused by player, Unpause by player
12   13:49.522      20:44.615      20:57.985      13.370     13.370     Paused by player, Unpause by player
13   13:50.022      20:58.485      20:58.645      0.160      0.160      Paused by player, Unpause by player
14   14:06.922      21:15.505      21:27.845      12.340     12.340     Paused by player, Unpause by player
15   14:13.072      21:33.962      21:35.122      1.160      1.160      Paused by player, Unpause by player
16   14:30.472      21:52.478      21:53.184      0.706      0.706      Paused by player, Unpause by player
17   14:32.872      21:55.586      21:58.276      2.690      2.690      Paused by player, Unpause by player
18   14:35.672      22:01.062      22:02.145      1.083                 Paused by player, Unpause by player / changed option
19   14:58.972      22:25.467      22:25.653      0.186                 Paused by changed dimension, Unpause by rendered
20   18:09.419      25:36.096      25:36.819      0.723      0.723      Paused by player, Unpause by player
21   19:23.469      26:50.859      26:55.682      4.823      4.823      Paused by player, Unpause by player
22   19:35.969      27:08.160      27:08.923      0.763      0.763      Paused by player, Unpause by player
23   21:11.419      28:44.343      28:46.072      1.729      1.729      Paused by player, Unpause by player
24   22:23.919      29:58.562      30:00.767      2.205      2.205      Paused by player, Unpause by player
0    22:25.669      30:02.505      5:05:11.385    16508.880             Paused by player, Unpause by rendered
1    22:33.080      5:05:18.756    5:05:20.449    1.693      1.693      Paused by player, Unpause by player
